Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0003360	14882	3935	4763	1492	576	640	7496	6150	6787	761	806	784	3797.15	6811	784	0.115	-3.122	-25.949	1.85216210594475e-148	1.64972078776499e-144	0.0055	0.0137	0.0097	0.0097	TRUE	0.0668
FBgn0039155	2490	751	893	81	37	54	1254	1174	1272	41	52	66	643.25	1233	53	0.042	-4.59	-24.519	9.2644520899362e-133	4.12592373825309e-129	0.0051	0.0177	0.0155	0.0155	TRUE	0.5487
FBgn0029167	10401	3816	3822	2347	937	924	5239	5964	5446	1197	1311	1133	3381.36	5550	1214	0.219	-2.194	-18.867	2.12583004150119e-79	4.73369204491277e-76	0.0043	0.0138	0.0092	0.0092	TRUE	0.0561
FBgn0035085	1895	671	787	314	133	150	954	1049	1121	160	186	184	609.08	1041	177	0.169	-2.569	-17.24	1.33430157431174e-66	2.37692482447893e-63	0.0055	0.018	0.0126	0.0126	TRUE	0.0917
FBgn0039827	767	320	331	46	14	28	386	500	472	23	20	34	239.23	453	26	0.057	-4.143	-16.894	4.95604025183718e-64	7.35724175385229e-61	0.0179	0.026	0.0237	0.0237	TRUE	0.3679
FBgn0029896	1627	531	501	302	100	116	819	830	714	154	140	142	466.54	788	145	0.185	-2.431	-15.882	8.39244607105647e-57	1.06787881649857e-53	0	0.0196	0.0128	0.0128	TRUE	0.0764
FBgn0034736	712	282	257	51	25	28	359	441	366	26	35	34	210.14	389	32	0.079	-3.657	-15.705	1.3972802284382e-55	1.55569687433738e-52	0	0.0278	0.0222	0.0222	TRUE	0.3169
FBgn0034897	2877	964	982	725	274	263	1449	1507	1399	370	383	322	905.02	1452	358	0.247	-2.016	-15.692	1.71805709217884e-55	1.70030383555966e-52	8e-04	0.0163	0.0101	0.0101	TRUE	0.0814
FBgn0023479	9584	3082	2984	3053	1145	1175	4827	4817	4252	1557	1601	1440	3082.34	4632	1533	0.331	-1.596	-14.035	9.53159144266324e-45	7.71798954361831e-42	0.0033	0.0139	0.0089	0.0089	TRUE	0.0622
FBgn0038832	853	252	289	129	52	65	430	394	412	66	73	80	242.24	412	73	0.174	-2.522	-13.706	9.40287048408419e-43	6.97928061681149e-40	0	0.0258	0.0163	0.0163	TRUE	0.097
FBgn0036821	1441	498	457	382	112	147	726	778	651	195	157	180	447.81	718	177	0.249	-2.007	-12.674	8.26263312522034e-37	5.66117486510289e-34	0.0061	0.0199	0.0145	0.0145	TRUE	0.098
FBgn0264753	351	131	146	42	11	19	177	205	208	21	15	23	108.27	197	20	0.104	-3.261	-11.785	4.64818522214352e-32	2.76009238490882e-29	0	0.0419	0.0293	0.0293	TRUE	0.129
