Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0043806	2523	806	985	3039	1155	1451	1271	1260	1404	1550	1615	1778	1479.58	1312	1648	1.255	0.327	3.636	0.00027677528720322	0.00277708237609523	0.0025	0.0063	0.0051	0.0051	TRUE	NA
FBgn0261811	7571	2891	2444	9863	3824	4003	3813	4518	3482	5030	5348	4906	4516.35	3938	5095	1.294	0.372	3.628	0.000285711043798405	0.00285711043798405	0.0121	0.0051	0.0073	0.0073	TRUE	NA
FBgn0003124	4236	1342	1440	5053	1801	2007	2134	2097	2052	2577	2519	2460	2306.38	2094	2519	1.203	0.266	3.626	0.000287479740884385	0.00287158175178698	0	0.0057	0.0034	0.0034	TRUE	NA
FBgn0035539	28	3	5	53	23	39	14	5	7	27	32	48	22.15	9	36	3.875	1.954	3.613	0.000302725909112204	0.00301040352825388	0.1783	0.1223	0.1369	0.1369	TRUE	NA
FBgn0024841	1401	414	487	1591	682	754	706	647	694	811	954	924	789.32	682	896	1.303	0.381	3.6	0.000318420169034296	0.00314893921315201	0.0043	0.0078	0.0067	0.0067	TRUE	NA
FBgn0029594	729	212	285	990	351	413	367	331	406	505	491	506	434.42	368	501	1.36	0.443	3.597	0.000321517049901187	0.00317253840399734	0.0015	0.0105	0.0084	0.0084	TRUE	NA
FBgn0015805	3133	1021	1195	3616	1527	1652	1578	1596	1703	1844	2136	2025	1813.47	1626	2002	1.227	0.295	3.595	0.000324078656039645	0.00318374301257869	0.0011	0.006	0.0043	0.0043	TRUE	NA
FBgn0039665	2726	1378	1504	3035	1927	2280	1373	2154	2143	1548	2695	2795	2117.83	1890	2346	1.224	0.291	3.596	0.000323691099651719	0.00318374301257869	0.0017	0.0058	0.0042	0.0042	TRUE	NA
FBgn0029676	2635	784	766	3562	968	1175	1327	1225	1091	1816	1354	1440	1375.72	1214	1537	1.263	0.337	3.592	0.000327814808795804	0.00321337677557248	0.0036	0.0064	0.0055	0.0055	TRUE	NA
FBgn0032699	3244	922	1009	3751	1257	1522	1634	1441	1438	1913	1758	1865	1674.81	1504	1845	1.226	0.294	3.59	0.000330464835301676	0.00323580151232891	0	0.0061	0.0042	0.0042	TRUE	NA
FBgn0086253	1192	413	429	1389	603	709	600	645	611	708	843	869	712.96	619	807	1.293	0.37	3.587	0.000334868196245391	0.00327174288016558	0.0019	0.0082	0.0062	0.0062	TRUE	NA
FBgn0033153	457	152	155	597	234	280	230	238	221	304	327	343	277.25	230	325	1.407	0.493	3.569	0.000357873718502982	0.00349269104506189	0	0.0139	0.0098	0.0098	TRUE	NA
FBgn0034997	8879	3200	3399	10015	4351	4763	4472	5001	4843	5107	6085	5838	5224.45	4772	5677	1.187	0.247	3.563	0.000366180465585834	0.00356596680226989	8e-04	0.005	0.0033	0.0033	TRUE	NA
FBgn0002031	4856	2073	2435	5920	2878	3180	2446	3240	3470	3019	4025	3898	3349.48	3052	3647	1.199	0.262	3.558	0.000373051824427262	0.00362103564362549	8e-04	0.0053	0.0036	0.0036	TRUE	NA
FBgn0024234	2648	1331	1412	3022	1858	2034	1334	2080	2012	1541	2599	2493	2009.75	1809	2211	1.213	0.278	3.551	0.000384093287696908	0.0037160921550741	6e-04	0.0058	0.0039	0.0039	TRUE	NA
FBgn0259935	82	32	23	175	61	58	41	50	33	89	85	71	61.62	41	82	1.999	0.999	3.546	0.000391299211168635	0.00377354422865649	6e-04	0.0469	0.0378	0.0378	TRUE	NA
FBgn0034523	479	153	193	786	242	269	241	239	275	401	338	330	304.06	252	356	1.427	0.513	3.544	0.000394671327840277	0.00379597776485781	0.0072	0.0131	0.0114	0.0114	TRUE	NA
FBgn0029970	228	70	70	336	113	151	115	109	100	171	158	185	139.74	108	171	1.582	0.661	3.536	0.000406895889969644	0.00390287894460679	0	0.0232	0.0172	0.0172	TRUE	NA
FBgn0037852	1363	416	474	1608	623	715	686	650	675	820	871	876	763.29	670	856	1.271	0.345	3.526	0.000422552554030919	0.00403570649644239	0	0.008	0.0055	0.0055	TRUE	NA
FBgn0266268	2634	845	1067	3018	1285	1642	1327	1321	1520	1539	1797	2013	1586.07	1389	1783	1.275	0.35	3.525	0.000423003502874589	0.00403570649644239	0.0079	0.0062	0.0064	0.0064	TRUE	NA
FBgn0034950	142	51	49	248	85	102	72	80	70	126	119	125	98.57	74	123	1.687	0.755	3.519	0.000433373221334413	0.00411267042137759	0	0.031	0.0217	0.0217	TRUE	NA
FBgn0259166	1099	499	496	1323	701	778	554	780	707	675	980	954	774.8	680	870	1.271	0.346	3.518	0.000435550047158184	0.00412456195240995	4e-04	0.0079	0.0056	0.0056	TRUE	NA
FBgn0028694	2685	891	1111	3162	1323	1555	1352	1392	1583	1612	1850	1906	1616.1	1442	1789	1.237	0.307	3.513	0.000443265335032919	0.00418874015009944	0.0024	0.0061	0.0048	0.0048	TRUE	NA
FBgn0050100	387	85	141	588	171	219	195	133	201	300	239	268	222.68	176	269	1.525	0.609	3.5	0.00046539836885357	0.00437474466722356	0.0184	0.0163	0.0167	0.0167	TRUE	NA
FBgn0037901	960	333	373	1195	500	545	484	520	531	609	699	668	585.35	512	659	1.284	0.361	3.492	0.000480313587640266	0.00450546253952476	0	0.009	0.0059	0.0059	TRUE	NA
FBgn0004597	437	161	188	667	232	294	220	252	268	340	324	360	294.09	247	341	1.401	0.487	3.489	0.000485015680162369	0.00454479540802724	0	0.0134	0.0103	0.0103	TRUE	NA
FBgn0037046	32	9	8	116	30	18	16	14	11	59	42	22	27.46	14	41	2.961	1.566	3.488	0.000485926348121352	0.00454855585820091	0.0607	0.0996	0.0902	0.0902	TRUE	NA
FBgn0265185	2972	1157	1323	3213	1758	1995	1497	1808	1885	1638	2459	2445	1955.45	1730	2181	1.242	0.312	3.485	0.000491772047506519	0.00459364475338202	0.0041	0.0059	0.0052	0.0052	TRUE	NA
FBgn0002567	63	23	26	118	53	63	32	36	37	60	74	77	52.71	35	70	2.001	1	3.483	0.00049573482952973	0.00462582239049163	0	0.054	0.0373	0.0373	TRUE	NA
FBgn0265003	5282	1422	1550	6421	2067	2048	2660	2222	2209	3274	2891	2510	2627.79	2364	2892	1.223	0.29	3.48	0.000501909830081485	0.00467855405284724	0.0027	0.0055	0.0046	0.0046	TRUE	NA
FBgn0011692	3378	1165	1231	3966	1566	1741	1701	1821	1754	2022	2190	2134	1937.12	1759	2115	1.202	0.266	3.479	0.000503824764561639	0.00468661994534942	0	0.0059	0.0036	0.0036	TRUE	NA
FBgn0041588	1386	510	570	1699	725	811	698	797	812	866	1014	994	863.62	769	958	1.245	0.316	3.475	0.0005114736109086	0.00475281929803725	0	0.0076	0.0047	0.0047	TRUE	NA
FBgn0039788	18	2	8	69	20	19	9	3	11	35	28	23	18.34	8	29	3.644	1.865	3.468	0.000524150936630253	0.00485546458932381	0	0.1468	0.1215	0.1215	TRUE	NA
FBgn0030796	17571	5597	6278	19046	7903	8799	8850	8747	8945	9712	11053	10785	9682.16	8847	10517	1.186	0.246	3.465	0.000531071125404917	0.00491447165789213	0.0018	0.0048	0.0035	0.0035	TRUE	NA
FBgn0037757	2383	767	860	2646	1150	1279	1200	1199	1225	1349	1608	1568	1358.28	1208	1508	1.24	0.31	3.46	0.000540899099053545	0.00500023701298981	0.0022	0.0065	0.005	0.005	TRUE	NA
